name,value,type,date
Wondering Earth,678.7881,China,2019
Avatar,760.5,Fox,2009
Titanic,659.4,Par.,1997
Star Wars: The Force Awakens,936.7,BV,2015
Avengers: Infinity War,678.8,BV,2018
Jurassic World,652.3,Uni.,2015
Marvel's The Avengers,623.4,BV,2012
Furious 7,353,Uni.,2015
Avengers: Age of Ultron,459,BV,2015
Black Panther,700.1,BV,2018
Harry Potter and the Deathly Hallows Part 2,381.2,WB,2011
Star Wars: The Last Jedi,620.2,BV,2017
Jurassic World: Fallen Kingdom,417.7,Uni.,2018
Frozen,400.7,BV,2013
Beauty and the Beast (2017),504,BV,2017
Incredibles 2,608.6,BV,2018
The Fate of the Furious,226,Uni.,2017
Iron Man 3,409,BV,2013
Minions,336,Uni.,2015
Captain America: Civil War,408.1,BV,2016
Aquaman,333.2,WB,2018
Transformers: Dark of the Moon,352.4,P/DW,2011
The Lord of the Rings: The Return of the King,377.8,NL,2003
Skyfall,304.4,Sony,2012
Transformers: Age of Extinction,245.4,Par.,2014
The Dark Knight Rises,448.1,WB,2012
Toy Story 3,415,BV,2010
Pirates of the Caribbean: Dead Man's Chest,423.3,BV,2006
Rogue One: A Star Wars Story,532.2,BV,2016
Pirates of the Caribbean: On Stranger Tides,241.1,BV,2011
Despicable Me 3,264.6,Uni.,2017
Jurassic Park,402.8,Uni.,1993
Finding Dory,486.3,BV,2016
Star Wars: Episode I - The Phantom Menace,474.5,Fox,1999
Alice in Wonderland (2010),334.2,BV,2010
Zootopia,341.3,BV,2016
The Hobbit: An Unexpected Journey,303,WB (NL),2012
The Dark Knight,535.2,WB,2008
Harry Potter and the Sorcerer's Stone,317.9,WB,2001
Despicable Me 2,368.1,Uni.,2013
The Lion King,422.8,BV,1994
The Jungle Book (2016),364,BV,2016
Pirates of the Caribbean: At World's End,309.4,BV,2007
Jumanji: Welcome to the Jungle,404.6,Sony,2017
Harry Potter and the Deathly Hallows Part 1,296.1,WB,2010
The Hobbit: The Desolation of Smaug,258.4,WB (NL),2013
The Hobbit: The Battle of the Five Armies,255.1,WB (NL),2014
Finding Nemo,380.8,BV,2003
Harry Potter and the Order of the Phoenix,292.1,WB,2007
Harry Potter and the Half-Blood Prince,302.1,WB,2009
The Lord of the Rings: The Two Towers,342.6,NL,2002
Shrek 2,441.2,DW,2004
Harry Potter and the Goblet of Fire,290.2,WB,2005
Spider-Man 3,336.5,Sony,2007
Ice Age: Dawn of the Dinosaurs,196.6,Fox,2009
Spectre,200.1,Sony,2015
Spider-Man: Homecoming,334.2,Sony,2017
Harry Potter and the Chamber of Secrets,262.2,WB,2002
Ice Age: Continental Drift,161.3,Fox,2012
The Secret Life of Pets,368.4,Uni.,2016
Batman v Superman: Dawn of Justice,330.4,WB,2016
The Lord of the Rings: The Fellowship of the Ring,315.5,NL,2001
Wolf Warrior 2,2.7,HC,2017
Bohemian Rhapsody,214.5,Fox,2018
The Hunger Games: Catching Fire,424.7,LGF,2013
Guardians of the Galaxy Vol. 2,389.8,BV,2017
Inside Out,356.5,BV,2015
Venom (2018),213.5,Sony,2018
Thor: Ragnarok,315.1,BV,2017
Star Wars: Episode III - Revenge of the Sith,380.3,Fox,2005
Transformers: Revenge of the Fallen,402.1,P/DW,2009
The Twilight Saga: Breaking Dawn Part 2,292.3,LG/S,2012
Inception,292.6,WB,2010
Wonder Woman,412.6,WB,2017
Spider-Man,403.7,Sony,2002
Independence Day,306.2,Fox,1996
Fantastic Beasts and Where To Find Them,234,WB,2016
Coco,209.7,BV,2017
Shrek the Third,322.7,P/DW,2007
Harry Potter and the Prisoner of Azkaban,249.8,WB,2004
Pirates of the Caribbean: Dead Men Tell No Tales,172.6,BV,2017
E.T.: The Extra-Terrestrial,435.1,Uni.,1982
Mission: Impossible - Fallout,220.2,Par.,2018
Fast & Furious 6,238.7,Uni.,2013
Indiana Jones and the Kingdom of the Crystal Skull,317.1,Par.,2008
Deadpool 2,324.6,Fox,2018
Spider-Man 2,373.6,Sony,2004
Deadpool,363.1,Fox,2016
Star Wars,461,Fox,1977
Guardians of the Galaxy,333.2,BV,2014
2012,166.1,Sony,2009
Maleficent,241.4,BV,2014
The Da Vinci Code,217.5,Sony,2006
The Amazing Spider-Man,262,Sony,2012
The Hunger Games: Mockingjay - Part 1,337.1,LGF,2014
Shrek Forever After,238.7,P/DW,2010
X-Men: Days of Future Past,233.9,Fox,2014
Madagascar 3: Europe's Most Wanted,216.4,P/DW,2012
Suicide Squad,325.1,WB,2016
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291.7,BV,2005
Monsters University,268.5,BV,2013